,DESCRIPTION,CATEGORY
8317,"I was travelling from Panchpakhadi area to Thane station, for my tuition. I was riding a bicycle and one man was following me on bicycle. He was constantly trying to speak to me. He wanted to know my name and wanted to know whether do I ride through this route everyday at the same time. I just ignored him. There was nothing i could do as i wanted to rush to my tuition.",Commenting
8318,"I ride a scooty to travel around. i would feel earlier that maybe if I ride a scooty I would not be eve teased as much, clearly I was wrong. Recently during the Ganesha visarjan I noticed men staring at me, taking the excuse of traffic and trying to get close to me and my friend who was with me. Not just this even on normal days I find rickshaw drivers staring at me when I wear skirts and rise or even if I'm wearing an Indian wear they still stare. Once on a lonely road a car was driving behind me and kept honking even though the road was empty.",Ogling/Facial Expressions/Staring
8319,My friend and I were going to get some dinner near CST station. We were unable to get a cab so we decided to walk instead. After a while we noticed a guy following us and to make sure that he was we crossed the road a few times. Finally we entered McDonald's feeling that we would be safe there but that didn't happen. the guy stood outside on the footpath and every time we got up to get something he leaned forward to peep in and look at us. We informed the watch man about it but he didn't do anything about it. At the end we called up one of our relative who came to our rescue.,Stalking
8320,Group of boys passes lewd remarks on us when we access this street any time of the day.,Catcalls/Whistles
8321,There are a lot of boys loitering around the park of sitting on the side walls. They passed lewd remarks at the girls crossing the park.,Ogling/Facial Expressions/Staring
8322,"I was standing at the station, waiting for train to arrive and I notice a man brushed through me. I felt very uncomfortable",Touching /Groping
8323,"I was heading to office during an afternoon time. A man walking from opposite direction walked towards me and he passed a very dirty sexual coloured remarks, I reacted immediately and yelled on him. He argued back and came to hit me, I pushed him back and left. There were few commuters around, but none of them intervene or offered help. I tried looking for police/home guard, but none of them were around.",Touching /Groping
8324,Received unwanted sexual attention at a house party by a man (extended relative). Could not even react.,Touching /Groping
8325,I was walking with a friend in south Mumbai and a man brushed past us. We turned back and created quite a scene. Man crossed the road and started ignoring!!,Touching /Groping
8326,"My friend witnessed this incident at local railway station in a crowded place. she was waiting for me and she realized a man standing behind her was trying to ejaculate on her dress from behind. The moment she realized this, she turned around and hit him hardly, the man pushed her back and ran away.",Touching /Groping
8327,"The area where i stay, is just pathetic. There are always this boys of group standing on the road side, playing cards and passing comments on each passer by. I try to ignore their comments, but again at the same time i feel why should i ignore. I don't like that girls like me are easy targets to the road side romeos. When i talk to my parents about this they too ask me too ignore the same. But somehow, i don't like to ignore. I want to take strict action against this boys as they really pass dirty comments on the girls. Therefore our parents do not allow us to move out of the house after 7 pm.",Ogling/Facial Expressions/Staring
8328,"kbar main shyam ke wakt market mai ja rahi thi tab vaha bahut bheed thi, tabhi mere piche ek admi chal raha tha usne mujhe gandi tarike se chua",Touching /Groping
8329,"I remember once a group of boys followed me from a bus stop to my residence. I was shit scared, they kept passing lewd remarks over me and I was helpless.",Commenting
8330,"I was travelling from Chembur station to Kurla station to take the train going to Dadar. I was in the middle ladies compartment and as soon as the train halted at Kurla. I started walking towards the platform and since the train had just come the foot over bridge was really crowded. There was one man walking behind me, and he touched me. The moment i realized that he touched me I turned back and screamed at him and shouted in hindi ki haath kyu lagaya? he was embarrassed but nobody bothered to intervene. I think there has to be some police protection given at kurla station as they are always crowded because of rush from central and harbor line.",Touching /Groping
8331,"instances of men harassing us are so common that we have taken them in our stride on the platform. they stare, touch us, pass lewd remarks on girls/women and this act of theirs is done deliberately.",Ogling/Facial Expressions/Staring
8332,"there were fixed group of boys in Goregaon Fast local train, they always passed lewd comments on the women who stand cross track (platform)",Ogling/Facial Expressions/Staring
8333,"I was placed for field work form my college at Raey Road. The place on the whole is unsafe. There are mostly men on the roads and very few women. They keep staring at girls as they walk through the lanes, roads, markets, etc. they even pass comments on them and try to come close; very close.",Ogling/Facial Expressions/Staring
8334,"every day this bridge is too crowded,cannot walk properly on office times in morning and daily some men or the other take advantage by touching women. not a single police personnel is there to look what is happening? its continuously happening there, sometime there lights don't work on the bridge its too difficult to walk in dark on this bridge.",Touching /Groping
8335,"I was waiting at a deserted bus stop and there was only man standing next to me, he just kept starring at me until i got into a bus. I felt very uncomfortable with his dirty gestures towards me.",Ogling/Facial Expressions/Staring
8336,"Guy showed me his penis at a bus stop. I didn't utter a word, was so scared &amp; kept eagerly waiting for a bus to come and this place itself is so very deserted.",Indecent exposure
8337,"I saw one man stalking me. I got into a train towards CST from Kurla, i saw that man on Kurla station. When i got down at Dadar station, he followed me there also. When i went to Grant road station I was really scared to see him board the taxi. I made up mind and decided if i see him once i get off from taxi, i will report to police. But luckily he did not follow me till then. The experience was scary, i don't know whether he was following me or we both wanted to go to the same place.",Stalking
8338,The group of 5 to 6 men was standing near the cobblers stall. I observed that they constantly stared at every women &amp; girls from top to bottom who access that road.,Ogling/Facial Expressions/Staring
8339,"whenever we sit , men mostly those who are middle aged, tend to brush themselves against us. when told to stay far or keep distance, they say that it's because of the crowd. many of them even argue or shout back. they rub their private parts against the girls shoulders, especially college going girls because they don't react or speak. they also give a dirty smile when looked with anger.",Ogling/Facial Expressions/Staring
8340,"I am student, studying in a senior college. I and my other few friends have been facing torture from the hands of few boys from our college itself. these boys are affiliated to some political party and highly influential too. They call out our names, pass lewd remarks, our names with some sexual message has been scribbled on the college walls. We suspect on them, how do we resolve this problem???",Ogling/Facial Expressions/Staring
8341,"Groups of boys, have been following me and my friends who access bandra skywalk. We get on skywalk from kalanagar stop and walk towards bandra station, its quiet a long stretch and these boys loiter on the sky walk everyday, they do follow us by passing lewd remarks &amp; whistling on us. This continues to some extent &amp; then they get down of the skywalk in between. This experience makes us feel very uncomfortable &amp; threatening at the same time. We friends have now stop accessing the skywalk!",Stalking
8342,"These are the one sentiment echoed by all the visually challenged women, that we feel unsafe while traveling in the handicapped compartments of local trains, when men often try and touch us inappropriately. We are glad at-least on this website we can express are bad feeling towards this sexual harassment that we faced almost everyday when we travel in local trains of Mumbai.",Ogling/Facial Expressions/Staring
8343,"Presence of gangs of males staring at females and passing comments, in case of emergency no marked escape for women.",Ogling/Facial Expressions/Staring
8344,"At Nerul station, when my daughter and I were climbing the FOB, this pervert came down the stairs exposing himself, targeting my daughter",Indecent exposure
8345,"Area around the station and the platform filled with men and boys staring at women, some even passing lewd comments.",Ogling/Facial Expressions/Staring
8346,We colleagues meet at this walkover at andheri east towards talao pali. Of late there r minor girls who touch and pass lewd remarks to people. These girls r accompanied wid male counterparts who watch these incidents frm a distance. They use foul language and bad words.i do not know the night scene but this happens throughout the day,Commenting
8347,"Watchman of Liberty building Tiwari seems to be a child abuser. Feeling children and forcibly kissing. We choose to remain anonymous, this is from an observation.",Touching /Groping
8348,I have noticed young teenage boys buying charas (drugs) at the bottom of the Vile Parle (West) railway bridge. There is a small shanty at the bottom of the bridge and the consignment is supplied by the slum kids (rs. 40 for a small pkt).This needs to be stopped immediately and the illegal shanty removed from encroaching on railway property,Others
8349,"Narrow bridge on the parel station, heavy crowd trying to climb up/down provides a merry ground for stalkers/eve teasers.",Ogling/Facial Expressions/Staring
8350,The station lights are very poor and it also lacks proper signs leading to emergency exits.,Others
8351,Poor lighting on bandra station. Dark and unsafe at night.,Others
8352,"The men on the station made me very uncomfortable, they were constantly staring at women passing-by. The station is dimly lit and doesnt even have proper signs towards escape routes.",Ogling/Facial Expressions/Staring
8353,Kurla station very dimly lit and very unsafe,Others
8354,"Two men who were trying to share a rickshaw with me. When I said I would like to sit at the exit, the men started saying they would like to sit near me. Thankfully the auto driver did not allow them to board the auto",Commenting
8355,"There are groups of men/boys hanging around Thane Station, staring at women and passing comments",Ogling/Facial Expressions/Staring
8356,"There is drug addicts problem in whole mahim west area. people are not safe at night in mahim west area. Drug addicts steal petrol, car batteries,street furniture etc in mahim west area. Approximate 100 drug addicts sit at mahim sea shore and smoke charas. other roads at mahim west which are unsafe are mori rd, lady jamshedji rd, cadell rd where charas is smoken. pls do something.",Others
8357,"Very dim lighting on Churchgate station, plus dangling wires making it very dangerous.",Others
8358,Touched and harassed at dadar station.,Commenting
8359,Being harassed with repeated indecent and insulting messages.,Commenting
8360,"Gangs of boys loitering outside the station and on platform, passing comments",Ogling/Facial Expressions/Staring
8361,"had to use this subway yesterday at 5pm, was walking with my son, it was very embarrassing, two older men, kind of beggars, made gestures and exposures.",Commenting
8362,"Auto drivers and even other pedestrians stand occupying the whole skywalk with the intention of groping girls or women that try to pass them Strict action must be taken to control these imbecile and insolent freaks who think they can behave as they please with women, forgetting that it was a woman who gave birth to them.",Commenting
8363,"Men on cycles masturbating and driving close to women and girls, between St. Andrews College and Turner road.",Indecent exposure
8364,"Presence of road-side romeos near Saidev hotel due to lack of police patrolling, making women uncomfortable while shopping and visiting beauty salon.",Catcalls/Whistles
8365,Physical and verbal abuse at Madanpura near Mumbai central station.,Ogling/Facial Expressions/Staring
8366,"Insufficient lights, feels unsafe while travelling in the evening.",Others
8367,Groups of boys and men loitering around the station.,Ogling/Facial Expressions/Staring
8368,"Asgarali Compound - Gaodevi. Behind the gate near the Landlord's gate. No proper Lighting, Drug addicts and gambling taking place.",Commenting
8369,"Unsafe pedestrian bridge connecting borivali east and west Presence of drug addicts below the bridge Presence of anti social elements on the bridge Very deserted in non peak hours like afternoon and after 10 pm Lights do not function Can find broken alcohol bottles, cigarettes and condoms lying about in the early morning a drug addict was found dead there on 23rd September 2013. Rats had eaten away his body while he was unconscious Also, a lot of men stare and pass comments if the female is unaccompanied and bridge deserted",Commenting
8370,The bridge is deserted majority of ghe day. There are beggars and drug addicts on the bridge manuy times and alcohol bottles and cigarettes aare seen lying around. There are drug addicts brlow the east landing of the bridge and thry behave wildly many times and chase women.,Others
8371,Unsafe area - Prabhadevi Market,Others
8372,"I'm a 21 years old college going girl living in Sion. It is very difficult and a scary affair almost everyday, anytime of the day. The most dangerous place is exactly outside the station where there is the underground bridge (subway). Most of the time there is no light at all in this dark underground. Besides this, after exiting from the underground bridge and as you walk towards Shivar Guest House, there are always huge groups of men, including shop keepers sitting all along the wholesale clothes shops going towards the BMC Quaters, who not only make lewd remarks, they also make sexual remarks, and sometimes even attempt unwanted contact. Worse cases have been witnessed but no action has ever been taken. This is just not a fixed group, there are always gangs at this entire area and specially at nights, the lane towards Laxmi baug and the BMC Quarters has a lot of mini ladders where these gangs sit as soon sun sets, and the number increases as time passes and it becomes worse at nights.",Ogling/Facial Expressions/Staring
8373,"everyday there are gangs of boys sitting exactly outside the entrance of my chawl and they are there from 7 - 11:30 pm and keep harassing all girls making dirty comments and making life miserable. I'm scared of them. PLEASE HELP

Exactly outside the gate of BMC Chawl, Laxmi Baug Sion, Near Shivar Guest House, Opp Sion Station",Catcalls/Whistles
8374,"I live in Laxmi Baug Sion, and there are shops along the stretch from the station road right upto the entrance of my chawl. There are muslim shopkeepers and junglee boys throughtout the lane of Shivar Guest house who often stare dirtily and pass filthy comments. This happens everyday. This incident is faced by all of us girls in this area and even ladies. I don't understand why authorities can't station a police booth here in this area which is really dangerously populated by all these hooligans. Please help.

Outside Sion Station Tunnel, towards Shivar Guest house, going towards Laxmi Baug",Catcalls/Whistles
8375,"There are always men , bhayas , who sit all across right up from the Urinal (near the signal before sion station, right up to the staircase which takes you to the sion station). These people are very scary as they pass dirty comments at girls passing by or even couples getting out of the taxis or autos as that is the auto stand. Request for a stationed officer there at all times after 8 pm onwards. PLEASE HELP....

Sion Station Urinal, Urinal before the sion station up to the stone staircase before the Station",Catcalls/Whistles
8376,"Visit to Palika Bazaar, the AC shopping market was terrifying for me and my friend as women. the place is filled with men.The shopkeepers pass lewd comments, men try to come close and feel us, there was a group of boys (tourists) who came so close to touch me that i had to threaten them with a call to police. there are no police men/women inside the market to make women feel safe. I am never going to enter the market again.",Ogling/Facial Expressions/Staring
8377,"He was sing song when I was coming from school. I just said that do not do it again, ok. It happened near my house.",Catcalls/Whistles
8378,"A guy followed me for many days and then I told my mother about that. she told my father who is a policeman and just because of my father, the guy never followed me cos my dad banned him.",Stalking
8379,Passing comments and I fight them.,Commenting
8380,I was harassed on the local train.,Ogling/Facial Expressions/Staring
8381,My cousin brother is harassing when he comes at home. He tries to pull me towards him and once also tried to kiss me. He is also married. I told about him to my parents and even sisters. My parents took it casually but sister told them to take a stand. But it is very tough to talk to him about it as he is a family member.,Commenting
8382,"i was wearing shorts at Thane station, standing near the police desk, aware that something might happen. A man passed by me and tried to pinch my thighs.",Touching /Groping
8383,"My college president, a 50 year old man took the power of his authority over me and my friend.",Touching /Groping
8384,My friend and I came back home at night and some guys outside a bar in Panvel commented and were whistling.,Commenting
8385,"Touched at all possible personal areas of my body. Some guy just rubbed his hand over my butt and one of the other times tried to look inside my top.

This happened at the subway near the CST station because it is dark.",Ogling/Facial Expressions/Staring
8386,Lewd comments at Vashi bus depot,Commenting
8387,an old person was trying to touch me in inappropriate places. This happened in a bus near Juinagar station,Touching /Groping
8388,"CBD Belapur taxi stand, outside the railway station. Goons are wandering in the night.",Others
8389,whistling on girls. This is at Panvel near colleges.,Catcalls/Whistles
8390,Uncomfortable stares when walking.,Ogling/Facial Expressions/Staring
8391,Was going to catch a train. Middle aged man tried to feel me which ended up with him getting a piece of my mind.,Touching /Groping
8392,A person in the train once tried to hold me. As there was a lot of crowd I couldn't help just change the place from where I was standing.,Touching /Groping
8393,I was wearing shorts and walking near the army area on a rainy day. The road was deserted and 3 guys on the bike stalked me and commented on me. They even tried to assault me. I was alone and helpless.,Ogling/Facial Expressions/Staring
8394,I was with my group of friends and we had gone for shopping and one of my friends from our own group was abused by a stranger.,Commenting
8395,A guy was masturbating in front of the girls hostel. He was caught by a girl and further beaten by the authorities.,Indecent exposure
8396,"At work, my team leader spoke derogatory comments about me to my friend in my absence.",Commenting
8397,Following and ogling is very common in Panvel.,Commenting
8398,Once got followed and commented by the watchman. This happened in my residential area in Panvel.,Stalking
8399,I could feel a boy's erection when travelling in a MHRTC bus,Touching /Groping
8400,Few people were passing comments over a girl passing through a park,Commenting
8401,Once I was going for my classes and there was a group of boys who just followed me which made me almost cry.,Commenting
8402,My friend was molested by her boyfriend.,Rape / Sexual Assault
8403,Bad stares and whistles when passing through a street.,Ogling/Facial Expressions/Staring
8404,I was in a crowded place so there was 1 person who said to me something very disturbing - &quot;chute chatne degi&quot;. Since it was a crowded place and people were pushing each other I couldn't react instantly. By the time I realised what happened to me he had already left. And otherwise also I don't know how I would have reacted even if he was still standing there.,Catcalls/Whistles
8405,Got stalked for a few days by 2 people.,Touching /Groping
8406,I was in a shared autorickshaw. The person who was sitting next to me was trying to elbow me in the stomach. Later he tried to slide his hand under my thigh. I told him to take his hand away and sit in front.,Ogling/Facial Expressions/Staring
8407,"College trip - train ride - guys looking in an ugly way - guys were soldiers in civilian clothes.

This happened on the train back from Goa.",Ogling/Facial Expressions/Staring
8408,Taking pictures without consent in Jammu,Taking pictures
8409,Catcalls and touching have happened with me and a friend of mine Commenting and stalking have happened too.,Catcalls/Whistles
8410,"My ass was pinched by the same guy twice within a span of 3 mins. And all this while I was waiting for a rickshaw. This was at the Kurla station, right opposite the bus stand.",Touching /Groping
8411,I was on my way home and a guy just followed me and asked me to make friendship. I started running and he too started running behind me. Then he scanned my whole building searching for me.,Catcalls/Whistles
8412,I went to the government office for an official appointment. The official was showing me pornographic videos and I was scared as I was alone.,Indecent exposure
8413,"his incident happened to me at the Taj Land's End coffee shop. I was meeting the Founder of Save Life Foundation in the evening and we were in the midst of a serious discussion when a man came up to us and first wished my colleague. Then he turned to me and said something to the effect - This guy is f**king you real good.
Before I could react, he had disappeared. We called the waiter and asked how such a thing could happen at a 5 star hotel which is assumed to be a &quot;safe&quot; space. They claimed he was drunk and was hanging around for a while.
I am in conversation with the hotel in question to find out more about their procedures and preemptive measures when patrons are drunk as well as finding out the identity of the guy.
But it raises questions that we need to be alert at all times. Street harassment seems to be moving indoors. It could have been more serious as if the person had decided to physically assault he had access to cutlery.",Commenting
8414,I was in an auto. 2 boys on a bike started teasing and laughing. For my safety I removed my cell phone and started acting as if i am noting their bike number and they just moved out.,Catcalls/Whistles
8415,Catcalling and young boys following me near Marine Drive.,Catcalls/Whistles
8416,"As I go to college in Bandra, Carter Road, there are many college going students who comment on firls all the time. And they even touch them and run on bikes.

This happens almost everyday.",Ogling/Facial Expressions/Staring
8417,A drunk guy was once teasing a school going girl on the Adarsh Nagar Bus stop next to Multanis.,Ogling/Facial Expressions/Staring
8418,"I was sexually harassed by the auto driver in the auto on my way to college. He passed comments and tried touching and catching my hand very dirtily. When I asked him to stop the auto and screamed, he refused and did it even more.

This took place between Juhu beach to Bandra Hill Road.",Commenting
8419,Guys in a bus purposely stick their private parts to the girls. Very common on buses in Mumbai.,Indecent exposure
8420,"A guy was indecently exposing his private parts even after knowing that there were girls all around them and would have noticed it.

This happened outside the Wadia college at the bus stop.",Ogling/Facial Expressions/Staring
8421,In front of my building as I was coming home a rickshaw driver was honking and making dirty facial expressions.,Ogling/Facial Expressions/Staring
8422,Two individuals asked for directions to jaynagar. As I was explaining the route I saw a shadow behind me. As I turned I was struck on the face. After hitting back I realised he had a large knife on him so I decided to run and scream for help as they were armed and I was outnumbered. This managed to scare them off a little as I was screaming loudly. I sustained injuries to my head and face.,Others
8423,"A man of the guesthouse came in my bedroom twice and wanted to hug me and kiss me, fortunately I'm an european girl thus I was taller than him and stronger so I can put him out of my bedroom.",Ogling/Facial Expressions/Staring
8424,Ogling and touching in the general compartment of the Dombivli train.,Ogling/Facial Expressions/Staring
8425,"A girl was not allowed to get out of a car. SHe was shouting and the driver drove fast and ran away. She was forced to remain in the car. This happened near Mini Seashore, sector 10, Vashi",Ogling/Facial Expressions/Staring
8426,I was coming back home from a nearby general store and it was raining heavily. It was not crowded. A random guy asked me for my umbrella and tried to snatch it. I fled.,Commenting
8427,A guy tried to touch inappropriately on a long distance passenger train from Mumbai to Kerala.,Ogling/Facial Expressions/Staring
8428,"During my bus travels between Panvel and SIon in an ST bus, this guy was rubbing his penis on my hand (I was sitting). I was busy talking to my friend and it took me sometime to realise what was happening. I started shaking uncomfortably and then he went away.",Touching /Groping
8429,"I have been touched and groped several times - when I was in the 3rd std, 5th std and a few days ago.",Touching /Groping
8430,"When I was just 7 years old, I was in my music clas, a man called me upto the top floor and tried to abuse me. I fled from that place.",Rape / Sexual Assault
8431,Catcalls and whistles in the morning at Kalyan railway station.,Catcalls/Whistles
8432,My friend was standing in the queue to pay bill and was ogled by a group of boys.,Ogling/Facial Expressions/Staring
8433,In the queue of the platform one man pushed and touched a woman very badly. That woman slapped him at that time. Platform 9 of Thane Railway station.,Touching /Groping
8434,One of my friends was molested in the crowd. This happened on No 9 bridge of the Thane railway station.,Touching /Groping
8435,"I was subjected to indecent remarks at Sector 21, Nerul which is close to my home.",Catcalls/Whistles
8436,Indecent gestures at Juinagar railway station,Indecent exposure
8437,"blocking of second verification code in phone in my both gmail account. irrating, peoples some hate me using social media and abusing me at public !",Others
8438,I was groped at Bandra station by an old man. It seemed intentional.,Touching /Groping
8439,A gang of boys were passing comments when the girl was passing by near the community centre at Anushakti Nagar.,Catcalls/Whistles
8440,I saw it once in the train nearby Kurla. Guys were pushing a girl to go out of the train with wrong intentions.,Touching /Groping
8441,A person tried to grab me when I was walkng in the railway station. The station was very much crowded and conjested. So the people were actually walking very close to each other.,Touching /Groping
8442,My sister studies away from home. SHe stays in a separate house near her college. She had her college mates at her place for late night studies and one by one all left except her boyfriend. and it so happened eventually he raped her that night.,Rape / Sexual Assault
8443,i am not Receiving my second verification code for my emails in my phone.some peoples don't  like me using my mails .irrating peoples,Others
8444,Have seen girls being stared upon by guys and making them feel uncomfortable. Also whistling and ogling.,Ogling/Facial Expressions/Staring
8445,"Somebody pinched me when I was waiting for the train at Kurla station. Platform 7, Kurla Station.",Touching /Groping
8446,It happened around 7 pm. I was returning from class when a person came to me and asked if I can be his friend. I had seen that person following me several times before.,Stalking
8447,A biker stopped in front of my friend and asked her to accompany him,Sexual Invites
8448,Cheap comments and stalking in the evening at Nerul.,Commenting
8449,It was around 0930 pm when some boys had stopped their car and used cheap words and catcalls and tried to stop my friend on her way.,Catcalls/Whistles
8450,One couple was walking on the road near a police station and one stranger guy by mistake pushed the boyfriend. They both had a fight. Then the girlfriend lied to the police that the stranger had sexually harassed her. The police punished the stranger.,Others
8451,"at the waterfalls near Karjat, drunk people passed comments and stared at my friends",Ogling/Facial Expressions/Staring
8452,Few drunk people passed comments when me and my friend (girl) were walking and they tried to approach.,Catcalls/Whistles
8453,some guys were commenting on our group of girls. The comments were just ridiculous.,Catcalls/Whistles
8454,Person stalking in a car.,Stalking
8455,"Once when I was travelling in a bus on the way to Alibaug, there was no place to sit. I was standing as some others were. I finally got a small space next to a man to sit and I sat as I was very tired.
But that man touched me very intentionally in a very wrong way and finally I had to change my position.",Touching /Groping
8456,I was kissed inappropriately by my family friend.,Touching /Groping
8457,A friend of mine (female) got harassed whilst she was jogging early in the morning.,Ogling/Facial Expressions/Staring
8458,My friend got groped from behind when travelling from CST station.,Touching /Groping
8459,"Whilst travelling in the general compartment of a local train bound for Dombivli from CST, a man standing behind me pinched my bottom. When I looked back he pretended he was taking his cellphone out and what happened was an accident. It was definitely not the case.",Touching /Groping
8460,Was travelling on a train from Thane to Nerul when a guy started touching me. He tried to come to my intimate zone and he started touching my personal part. So then I tried to stop him and i left.,Touching /Groping
8461,Groping by 4-5 boys for money,Touching /Groping
8462,"When I was waiting for the bus, an unknown person asked whether I want a lift in his car. He spoke in a very dirty tone. And when I started clicking the photo of his car's number plate, he fled away.",Others
8463,"A bunch of losers (weird guys) kept tailing me and my friends (all female) as we shopped in Lulu Mall, Kochi. They kept following us from one floor to another even entering the stores we went to. After a point they even tried photobombing us. We got rid of them  only on leaving the mall.",Ogling/Facial Expressions/Staring
8464,"while walking on the road, a guy from a building's balcony whistled and was calling me into his house. that is an area where students from different places, live in hostels to prepare for competitive exams. i wasn't wearing indecent clothes infact i was wearing a salwar.",Catcalls/Whistles
8465,"Two separate instances, the 1st one,that happened last evening at 5.30 ryt next to a temple,( to indicate that it's not a lonely area) 2 youth on a bike tried to grab a ladies chain, they failed..so they went ahead , turned n came back n snatched her bag n got away..                                       2nd instance same street just around d corner (few meters ahead) laptop was snatched from a young grl..",Chain Snatching
8466,It was 2 o clock in the noon..  I was heading to my classes..  I have to change two buses to reach my classes..  I was in a hurry and moreover  i am new in the city..  When i got down the bus at the bus stop..  A bastard was walking in opposite  direction..  He came near me uttered something  and touched me down there in front of the public! It is ridiculous..  I cant believe it happened  with me..  I am in terrible shock,Commenting
8467,"Two unruly men in a White Maruti Swift (HR 26 CD 8118) first reversed into my car at a red light, when the traffic was stock still, even after I'm repeatedly honking them to stop. 
As the light changed, they manoeuvred 2 cars ahead and the driver showed his middle finger amidst their raucous laughter within the car. 
The light changed at the busy intersection before I could hail the traffic cop.",Others
8468,"I am a UK National who visited India from January 15th 2014 to January 26th 2014. Whilst on a train from Jodphur to Delhi on Friday 24th January with my male partner I was the victim of a crime. There was a samosa vendor on the train who served us food but who came back later to our carriage and was caught by me, concealing himself in the carriage whilst masturbating and staring at me. Both myself and my partner confronted the man and we were assured by the train guard that he had been removed from the train.

On arrival into Old Delhi train station a few hours later we went to try to report this incident but there was no clear sign of where we could find the police so we left it until the following day. On Saturday 25th January we searched the internet and saw that crimes against women could be reported at Connaught Place so we went to that police station. Our treatment there was shameful as I was rudely ordered to write a statement about the incident in a room full of male police officers who were watching what we were doing. At the end of this time we were told that the incident could not be reported at Connaught Place police station and were vaguely direct back to New Delhi police station. Here we encountered a similar situation with the police showing very little interest in us and directing us to another police station. At this point we decided to come to the British Embassy to seek advice but were not allowed entry as we were told the embassy was closed on a Saturday. By now I was exhausted and traumatised so my partner took me back to our hotel and went out on his own to try to the report the incident. He eventually went back to Old Delhi train station and was finally able to find a police officer who was willing to listen to an account of the incident and to document it.",Indecent exposure
8469,"Today when I was climbing up the stairs of a railway bridge, a man passed by saying 'What are you doing baby?' Makes me cringe. I've heard worse things before.",Commenting
8470,"One of our brother, Wilungbou chawang from (zeliangrong community) found dead in Chirag delhi last night around 11pm. Heard that, he was beaten up by the local people. His body was found in a drainage.His body is in AIIMS now, further reports are awaited.",Others
8471,A group of boys were commenting on several women crossing the street outside Saket metro station.,Catcalls/Whistles
8472,"A man followed me from the station to my home, whistling and whispered in my ear &quot;charming&quot; before leaving.",Catcalls/Whistles
8473,"This happened at 7 am where 2 guys on a bike entered by building and asked for directions. As I began to respond, the pillion rider snatched my gold chain. It happened so quickly that I could not take down the bike number nor the description of either people on the bike.",Chain Snatching
8474,"This incident occurred 6 months ago but i still feel it was yesterday because the shock was too bad.

I was returning from my yoga class at 8 am. Normally I am with friends but that day I was alone. I walked past the church on the way home and 2 boys on a bike came towards me. They touched me and were staring at my chain and purse which I had in my hand. They could not snatch it at that time but they followed me and were staring at me.

I stood there for a little while and was looking at them. The boy in the pillion seat continued to look at me but then they went away. I started walking back home. As I reached the Hanuman Temple, 2 other boys came from the opposite side on the bike. They stopped the bike and the pillion rider asked me where is the hardware shop. I told them I didn't know and they could ask someone else. Very few shops were open at that hour and there were very few people on the road. They said it was ok and just started moving.

Suddenly the pillion rider grabbed my chain but fortunately he grabbed my dress instead and I used my presence of mind to lift my hand and hold onto my chain. My sleeve tore in the process and there were nail scratches on my upper arm. God saved me and my chain. They sped away on the bike.

It appeared that the 2 boys on the first bike and the 2 on the second bike were working together in tandem. Many such incidents have occurred on this road. Now there is a policeman posted opposite the church.",Touching /Groping
8475,"Calling a girl to come along with him, couldn't identify him, he was on bike with helmet his age is around 35+, couldn't ask help around because of less pedestrian movement,this was around 3:45 p.m when i raised my voice then he left...",Sexual Invites
8476,"I was behind the richshaw with my boyfriend and the driver was kind and fun and then he wanted me to try his rickshaw I didn't wanted but he insisted and I wanted to be nice by accepting.I sat close to him and he just grab the moment to touch my pectorals in a manner that &quot;he may thought I was going to accept because he was teaching me&quot; I had my kurta nothing was revealing, This  is terrible!!",Touching /Groping
8477,"I was walking with my friend around 9-10 p.m. on North Main road, both of us covering our upper bodies with a scarf since it was cold.

A bike slowed down and touched my friend's breast, accelerated and stopped a bit ahead to look at his victim's face (gross), not enough for me to catch him (even though I tried and started shouting at him).",Touching /Groping
8478,"I was alone with my mother walking during Holi in Udaipur, during our holidays, when several men approached us with colors, even though we insisted WE DID NOT WANT, they were about to put colors on my mother so I told them to do it with me but leave her alone.

Not only that, afterwards they hugged me on what I thought it was an innocent and true gesture of happiness and celebration, when I realised they kept one hand down to touch my breast.

Since then I have decided not to venture the streets during Holi.",Touching /Groping
8479,"As I was walking in the small lane to cross in between two streets...a man on the bike came from behind and touched my back and sped away within seconds.I couldn't notice his bike number.
He has shaved his head.Didn't wear any cap.",Touching /Groping
8480,was groped while climbing the stair case of the house,Indecent exposure
8481,"Navigating everyday is a challenge in Indian Cities. I have lived in Coimbatore, Mumbai, Varanasi and Bangalore and from the morning, every act is geared towards navigating the city. am i going to come home late today, what should i wear, do i have transport or am i using public transport, do i really need to stay out late. every day these are my thought processes. i guess as i am relatively old now, i have figured out ways of avoiding unsafe times and places, but the truth is that there is always a fear of getting raped.",Ogling/Facial Expressions/Staring
8482,The incident happened outside BEL township.My friend and I were on a bike and talking to one of our college friend outside her home in bel township when a taxi stopped by. It was a pearl white Tata Indica Vista (KA.03.AA.5562). The driver started teasing our friend and started abusing us too when we looked at him. He intended to pick a fight on road. But we chose to quietly note his vehicle number down and report. He had two others in his car. After the incident he went ahead towards Yeshwanthpur and proceeded towards Metro.,Ogling/Facial Expressions/Staring
8483,"I used to experience other types of categories when I was younger, but am now a veteran in my own city - in the field of avoiding any such issues. 
But ogling, facial expressions and comments remain unchanged over the years.
In every other place i travel to, as I am not a local, I experience all the other categories of assault except rape/sexual assault. 
I have avoided rape over the years by simply NEVER being in a situation that could lead to it. 
One learns to LIVE like a prey animal in a WORLD full of predators.",Ogling/Facial Expressions/Staring
